100010,Scholastic Book Fairs,Corporate Office,Bookstores
100031,Johnny Walkers,,French
100032,Bo Jangles,None,None
100033,Dray_验s Diner,None,None
100034,Kat_验s Bar & Grille,None,None
100035,Kats Bar & Grille,Bar & Grill,None
100038,Merchant_验s Deli,None,None
100039,The Joint Demo,None,Barbeque
100041,Katinas Diner,None,None
100043,The Bankcard Group Demo,Financial Consultant,None
100044,mcps cert and dev test,None,None
100045,MCPS OF CENTRAL PA,None,None
100048,Corner Deli 2,None,None
100049,Demo Store,None,None
100050,Uptown Spirits,Wine Store,None
100051,Corner Deli,None,Delis
100052,SQUIRERS HOLDING GROUP LLC,None,None
100055,BULLIT PROOF ARMS,Gun Shop,Guns & Ammo
100056,PETER CAVE LIQUORS,Liquor Store,None
100057,TARKA RESTAURANT,Indian Restaurant,None
100058,HIDDEN FALLS ADVENTURE PARK,Park,Parks
100062,COPPERHEAD CREEK SHOOTING CLUB,Shooting Range,Gun/Rifle Ranges
100063,AMONS RESTAURANT,Bakery,Donuts
100064,AMONS SUGAR SHACK,None,Donuts
100065,Six Flags Great Adventure,Amusement Park,Amusement Parks
100067,Dray INC,None,None
100068,ALLSTAR COMICS AND GAMES,Comic Book Store,None
100069,Mealano,,None
100070,PIONEER RV RESORT,,RV Parks
100071,KOUNTRY BOYS SAUSAGE BAKERY & RESTAURANT Lobby,None,None
100072,Jax rest,None,None
100073,Kat_验s Snack Shoppe,None,None
100074,DrayKat,,None
100075,TestInv,None,None
100076,The Nail Studio,None,None
100077,TEST KOUNTRY BOYS SAUSAGE  TEST Account,None,None
100078,Liam's Fun Castle,None,None
100080,REALLY ROXIE,Boutique,None
100081,MORAGA PARTY RENTAL,None,None
100082,BONNE BOMB VIE LLC,None,None
100083,MONTERREY MEXICAN GRILL,,None
100085,Corner Deli 1,None,None
100086,SILVER SANDS CARTS,Beach Entertainment Shop,None
100088,Corner Deli 3,None,None
100089,Flip'n Tasty,None,Food Trucks
100090,Brad's Diner,None,Breakfast & Brunch
100091,Chad's Deli,,None
100093,BUFFALO WING PUB LLC,Restaurant,None
100094,CAMILLES,Dress Store,None
100096,HIGH LEVEL DINER,Restaurant,None
100097,Nora Test,None,None
100098,"TAQUERIA \LA MEXICANA\""     """,None,None
100100,Southside United Methodist Church,United Methodist Church,None
100104,Waypoint,None,None
100105,Village Bread Cafe - Ernie Palmer Toyota,Toyota Dealer,Car Dealers
100106,HarborPay Test,None,None
100108,PREMIUM HAND CAR WASH AND OIL CHANGE LLC,Oil Change Service,None
100109,FRANGELLIS BAKERY,Bakery,None
100110,THE SHACK,Barbecue Restaurant,None
100111,iMobile3 Storefront,Software Company,None
100115,BOMIR FOODS,Grocery Store,None
100116,Salinas Cash Register,Office Equipment Supplier,None
100118,Sweis Cafe,None,None
100119,POMPEII COAL FIRED PIZZA,,None
100120,iMobile3 TSYS Test Account,Software Company,None
100121,SVS Mexico,Soil Testing Service,Herbs & Spices
100122,Peterbrooke Chocolatier,Chocolate Shop,None
100124,The Crown Cafe,Coffee Shop,Coffee & Tea
